IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.141.245.109,443,443,TRUE,FRA,Europe,Frankfurt,199,11.02
34.91.234.55,443,443,TRUE,FRA,Europe,Frankfurt,176,11.02
34.65.253.167,443,443,TRUE,FRA,Europe,Frankfurt,174,11.01
34.65.134.51,443,443,TRUE,FRA,Europe,Frankfurt,176,11.01
34.154.177.131,443,443,TRUE,FRA,Europe,Frankfurt,177,11.01
34.90.185.198,443,443,TRUE,FRA,Europe,Frankfurt,180,11.01
34.154.233.5,443,443,TRUE,FRA,Europe,Frankfurt,174,11.01
34.90.2.209,443,443,TRUE,CDG,Europe,Paris,178,11
34.154.169.85,443,443,TRUE,FRA,Europe,Frankfurt,180,11
35.204.154.72,443,443,TRUE,FRA,Europe,Frankfurt,176,11
34.154.195.87,443,443,TRUE,FRA,Europe,Frankfurt,178,10.99
34.65.96.16,443,443,TRUE,FRA,Europe,Frankfurt,175,10.99
34.154.195.84,443,443,TRUE,FRA,Europe,Frankfurt,197,10.99
34.32.235.221,443,443,TRUE,FRA,Europe,Frankfurt,176,10.99
35.204.211.243,443,443,TRUE,CDG,Europe,Paris,176,10.99
34.32.247.234,443,443,TRUE,FRA,Europe,Frankfurt,177,10.99
34.154.151.221,443,443,TRUE,FRA,Europe,Frankfurt,176,10.99
34.89.198.241,443,443,TRUE,FRA,Europe,Frankfurt,178,10.99
34.32.238.19,443,443,TRUE,FRA,Europe,Frankfurt,216,10.98
34.65.32.250,443,443,TRUE,FRA,Europe,Frankfurt,202,10.98
34.89.145.14,443,443,TRUE,FRA,Europe,Frankfurt,181,10.98
34.118.51.188,443,443,TRUE,FRA,Europe,Frankfurt,175,10.98
34.32.145.169,443,443,TRUE,FRA,Europe,Frankfurt,176,10.97
34.32.162.107,443,443,TRUE,FRA,Europe,Frankfurt,160,10.96
34.65.184.228,443,443,TRUE,FRA,Europe,Frankfurt,172,10.96
34.65.11.153,443,443,TRUE,FRA,Europe,Frankfurt,175,10.96
35.204.88.54,443,443,TRUE,FRA,Europe,Frankfurt,180,10.96
35.204.137.199,443,443,TRUE,FRA,Europe,Frankfurt,181,10.95
34.32.232.90,443,443,TRUE,CDG,Europe,Paris,173,10.94
34.91.113.182,443,443,TRUE,FRA,Europe,Frankfurt,182,10.94
34.107.87.58,443,443,TRUE,FRA,Europe,Frankfurt,226,10.94
34.154.104.94,443,443,TRUE,FRA,Europe,Frankfurt,162,10.94
34.90.185.198,443,443,TRUE,FRA,Europe,Frankfurt,178,10.94
34.65.85.72,443,443,TRUE,FRA,Europe,Frankfurt,175,10.93
34.89.198.241,443,443,TRUE,FRA,Europe,Frankfurt,176,10.93
35.234.166.80,443,443,TRUE,FRA,Europe,Frankfurt,163,10.92
34.147.126.181,443,443,TRUE,FRA,Europe,Frankfurt,177,10.92
35.204.154.178,443,443,TRUE,EWR,North America,Newark,178,10.91
35.204.24.165,443,443,TRUE,FRA,Europe,Frankfurt,170,10.91
35.198.132.107,443,443,TRUE,FRA,Europe,Frankfurt,171,10.91
34.118.43.13,443,443,TRUE,FRA,Europe,Frankfurt,195,10.91
34.34.24.107,443,443,TRUE,FRA,Europe,Frankfurt,202,10.9
34.118.37.122,443,443,TRUE,FRA,Europe,Frankfurt,173,10.9
34.65.54.201,443,443,TRUE,FRA,Europe,Frankfurt,175,10.9
34.65.241.102,443,443,TRUE,FRA,Europe,Frankfurt,175,10.9
34.154.15.62,443,443,TRUE,FRA,Europe,Frankfurt,184,10.89
34.65.15.16,443,443,TRUE,FRA,Europe,Frankfurt,179,10.89
34.65.59.26,443,443,TRUE,FRA,Europe,Frankfurt,173,10.89
34.65.15.16,443,443,TRUE,FRA,Europe,Frankfurt,175,10.89
34.65.43.234,443,443,TRUE,FRA,Europe,Frankfurt,177,10.88
34.65.248.227,443,443,TRUE,FRA,Europe,Frankfurt,175,10.88
34.90.89.224,443,443,TRUE,FRA,Europe,Frankfurt,274,10.87
35.204.64.59,443,443,TRUE,FRA,Europe,Frankfurt,176,10.87
34.65.189.65,443,443,TRUE,FRA,Europe,Frankfurt,181,10.87
34.107.87.58,443,443,TRUE,FRA,Europe,Frankfurt,227,10.87
34.154.25.190,443,443,TRUE,FRA,Europe,Frankfurt,215,10.86
34.91.240.66,443,443,TRUE,FRA,Europe,Frankfurt,175,10.86
34.118.67.148,443,443,TRUE,FRA,Europe,Frankfurt,195,10.86
34.118.91.69,443,443,TRUE,CDG,Europe,Paris,177,10.86
34.65.130.33,443,443,TRUE,FRA,Europe,Frankfurt,177,10.86
34.65.223.180,443,443,TRUE,FRA,Europe,Frankfurt,162,10.86
34.116.248.223,443,443,TRUE,FRA,Europe,Frankfurt,185,10.84
34.118.75.59,443,443,TRUE,FRA,Europe,Frankfurt,180,10.83
35.204.137.160,443,443,TRUE,FRA,Europe,Frankfurt,180,10.83
35.204.224.1,443,443,TRUE,FRA,Europe,Frankfurt,178,10.82
34.90.95.205,443,443,TRUE,FRA,Europe,Frankfurt,176,10.81
34.65.241.245,443,443,TRUE,FRA,Europe,Frankfurt,198,10.81
34.89.198.241,443,443,TRUE,FRA,Europe,Frankfurt,178,10.79
34.65.187.206,443,443,TRUE,FRA,Europe,Frankfurt,173,10.78
34.65.130.144,443,443,TRUE,FRA,Europe,Frankfurt,170,10.77
34.154.244.177,443,443,TRUE,FRA,Europe,Frankfurt,164,10.77
34.65.210.213,443,443,TRUE,FRA,Europe,Frankfurt,172,10.77
34.89.249.91,443,443,TRUE,FRA,Europe,Frankfurt,180,10.76
34.65.184.228,443,443,TRUE,CDG,Europe,Paris,176,10.75
34.65.254.225,443,443,TRUE,CDG,Europe,Paris,175,10.75
34.65.189.65,443,443,TRUE,FRA,Europe,Frankfurt,176,10.75
34.154.42.27,443,443,TRUE,FRA,Europe,Frankfurt,179,10.75
34.90.153.175,443,443,TRUE,FRA,Europe,Frankfurt,177,10.74
