IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.201.95.252,8443,443,TRUE,印度,Asia Pacific,Mumbai,167,10.59
16.162.37.123,443,443,TRUE,HK01,Asia Pacific,Hong Kong,63,28.64
16.162.10.198,443,443,TRUE,HK02,Asia Pacific,Hong Kong,83,11.57
8.210.146.108,2083,2083,TRUE,HK03,Asia Pacific,Hong Kong,63,27.35
8.217.85.14,2083,2083,TRUE,HK04,Asia Pacific,Hong Kong,64,22.3
8.210.146.108,2083,2083,TRUE,HK05,Asia Pacific,Hong Kong,63,27.35
8.217.85.14,2083,2083,TRUE,HK06,Asia Pacific,Hong Kong,64,22.3
8.210.146.108,2087,2087,TRUE,HK07,Asia Pacific,Hong Kong,59,19.98
8.217.85.14,2087,2087,TRUE,HK08,Asia Pacific,Hong Kong,61,19.56
8.210.174.156,2087,2087,TRUE,HK09,Asia Pacific,Hong Kong,61,18.69
8.210.174.156,2096,2096,TRUE,HK10,Asia Pacific,Hong Kong,64,20.3
47.243.203.119,2096,2096,TRUE,HK11,Asia Pacific,Hong Kong,62,13.81
15.165.49.161,8080,443,TRUE,韩国,Asia Pacific,Seoul,59,24.8
154.17.226.170,443,443,TRUE,US01,North America,Los Angeles,152,15.25
129.146.46.164,443,443,TRUE,US02,North America,Los Angeles,252,12.59
154.9.207.177,443,443,TRUE,US03,North America,Los Angeles,212,12.51
154.17.12.26,8080,443,TRUE,US04,North America,Los Angeles,154,14.98
43.153.181.217,443,443,TRUE,Tokyo01,Asia Pacific,Tokyo,135,13.62
52.69.227.23,443,443,TRUE,Tokyo02,Asia Pacific,Tokyo,83,11.62
13.231.123.25,443,443,TRUE,Tokyo03,Asia Pacific,Tokyo,82,9.63
3.112.20.39,8443,443,TRUE,Tokyo04,Asia Pacific,Tokyo,66,25.62
35.197.23.75,443,443,TRUE,US05,North America,Seattle,212,9.48
52.76.201.0,443,443,TRUE,Singapore01,Asia Pacific,Singapore,90,16.67
52.220.43.42,443,443,TRUE,Singapore02,Asia Pacific,Singapore,83,11.56
52.220.94.88,443,443,TRUE,Singapore03,Asia Pacific,Singapore,99,10.42
52.77.245.98,8443,443,TRUE,Singapore04,Asia Pacific,Singapore,93,18.04
43.153.103.203,443,443,TRUE,US06,North America,San Jose,236,10.35
54.183.80.85,2053,443,TRUE,US07,North America,San Jose,206,8.68
,,,,,,,,
IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.110.234.120,80,80,FALSE,N.US01,North America,Los Angeles,209,35.31
34.49.212.232,80,80,FALSE,N.US02,North America,Los Angeles,189,10.57
34.120.58.14,80,80,FALSE,N.US03,North America,Los Angeles,217,8.2
13.212.204.68,80,80,FALSE,N.新加坡,Asia Pacific,Singapore,88,6.57
140.238.19.2,443,80,FALSE,N.Tokyo,Asia Pacific,Tokyo,68,12.39
154.219.5.94,2052,0,FALSE,N.US04,North America,Los Angeles,231,20.93
154.197.108.196,2052,2052,FALSE,N.US05,North America,Seattle,206,19.63
45.135.235.72,2052,2052,FALSE,N.US06,North America,Seattle,208,19.5
45.135.235.199,2052,0,FALSE,N.US07,North America,Seattle,199,19.3
62.72.166.248,2052,2052,FALSE,N.US08,North America,Seattle,199,18.35
77.37.33.238,2052,2052,FALSE,N.US09,North America,Seattle,203,17.37
141.11.203.42,2052,0,FALSE,N.US10,North America,Seattle,200,16.55
14.102.228.89,2052,2052,FALSE,N.US11,North America,Los Angeles,226,16.4
104.129.165.182,2052,2052,FALSE,N.US12,North America,Seattle,209,16.23
66.81.247.173,2052,2052,FALSE,N.US13,North America,Seattle,238,15.02
79.99.31.29,2052,0,FALSE,N.US14,North America,Los Angeles,243,15
8.218.174.118,2082,2082,FALSE,N.HK01,Asia Pacific,Hong Kong,61,21.14
8.218.48.92,2082,2082,FALSE,N.HK02,Asia Pacific,Hong Kong,67,13.6
8.217.85.14,2095,2095,FALSE,N.HK03,Asia Pacific,Hong Kong,65,29.26
8.210.146.108,2095,2095,FALSE,N.HK04,Asia Pacific,Hong Kong,66,26.13
8.218.243.95,2095,2095,FALSE,N.HK05,Asia Pacific,Hong Kong,66,12.16
8.217.193.25,8080,8080,FALSE,N.HK06,Asia Pacific,Hong Kong,63,10.82
8.210.146.108,8880,8880,FALSE,N.HK07,Asia Pacific,Hong Kong,58,11.84
8.218.48.92,8880,8880,FALSE,N.HK08,Asia Pacific,Hong Kong,62,11.16
47.243.203.119,8880,8880,FALSE,N.HK09,Asia Pacific,Hong Kong,62,10.81
8.218.156.91,8880,8880,FALSE,N.HK10,Asia Pacific,Hong Kong,62,10.25
